2.500000e+02    # time
4909    # mx
  0.00000000000000e+00    5.13850000000000e+00    0.00000000000000e+00
  1.02880000000000e+01    5.13730000000000e+00    5.67500000000000e-01
  2.05760000000000e+01    5.33520000000000e+00    1.14400000000000e+00
  3.08640000000000e+01    5.83380000000000e+00    1.72200000000000e+00
  4.11520000000000e+01    5.93640000000000e+00    2.28800000000000e+00
  5.14400000000000e+01    5.32610000000000e+00    2.81150000000000e+00
  6.17280000000000e+01    4.80210000000000e+00    3.28030000000000e+00
  7.20160000000000e+01    4.71470000000000e+00    3.71130000000000e+00
  8.23050000000000e+01    4.86290000000000e+00    4.12840000000000e+00
  9.25930000000000e+01    5.13720000000000e+00    4.55120000000000e+00
  1.02880000000000e+02    5.41090000000000e+00    4.98150000000000e+00
  1.13170000000000e+02    5.70350000000000e+00    5.41950000000000e+00
  1.23460000000000e+02    6.22270000000000e+00    5.87850000000000e+00
  1.33750000000000e+02    6.59560000000000e+00    6.31450000000000e+00
  1.44030000000000e+02    6.25150000000000e+00    6.66120000000000e+00
  1.54320000000000e+02    5.62390000000000e+00    6.94460000000000e+00
  1.64610000000000e+02    5.22790000000000e+00    7.21480000000000e+00
  1.74900000000000e+02    5.06990000000000e+00    7.48370000000000e+00
  1.85190000000000e+02    5.06100000000000e+00    7.75600000000000e+00
  1.95470000000000e+02    5.11330000000000e+00    8.03730000000000e+00
  2.05760000000000e+02    5.25270000000000e+00    8.34570000000000e+00
  2.16050000000000e+02    5.53610000000000e+00    8.69200000000000e+00
  2.26340000000000e+02    5.82140000000000e+00    9.05130000000000e+00
  2.36630000000000e+02    5.89740000000000e+00    9.35810000000000e+00
  2.46910000000000e+02    5.86970000000000e+00    9.60150000000000e+00
  2.57200000000000e+02    5.90090000000000e+00    9.82410000000000e+00
  2.67490000000000e+02    6.00640000000000e+00    1.00540000000000e+01
  2.77780000000000e+02    6.18380000000000e+00    1.02990000000000e+01
  2.88070000000000e+02    6.45490000000000e+00    1.05540000000000e+01
  2.98350000000000e+02    6.90300000000000e+00    1.08140000000000e+01
  3.08640000000000e+02    7.54790000000000e+00    1.10710000000000e+01
  3.18930000000000e+02    8.29940000000000e+00    1.13180000000000e+01
  3.29220000000000e+02    8.91000000000000e+00    1.15190000000000e+01
  3.39510000000000e+02    9.30210000000000e+00    1.16680000000000e+01
  3.49790000000000e+02    9.55210000000000e+00    1.17880000000000e+01
  3.60080000000000e+02    9.65130000000000e+00    1.18780000000000e+01
  3.70370000000000e+02    9.62080000000000e+00    1.19440000000000e+01
  3.80660000000000e+02    9.47780000000000e+00    1.19900000000000e+01
  3.90950000000000e+02    9.28630000000000e+00    1.20320000000000e+01
  4.01240000000000e+02    9.10190000000000e+00    1.20790000000000e+01
  4.11520000000000e+02    8.90770000000000e+00    1.21250000000000e+01
  4.21810000000000e+02    8.61860000000000e+00    1.21440000000000e+01
  4.32100000000000e+02    8.25080000000000e+00    1.21410000000000e+01
  4.42390000000000e+02    7.88590000000000e+00    1.21350000000000e+01
  4.52680000000000e+02    7.54170000000000e+00    1.21300000000000e+01
  4.62960000000000e+02    7.23290000000000e+00    1.21280000000000e+01
  4.73250000000000e+02    6.96820000000000e+00    1.21290000000000e+01
  4.83540000000000e+02    6.75210000000000e+00    1.21370000000000e+01
  4.93830000000000e+02    6.58400000000000e+00    1.21550000000000e+01
  5.04120000000000e+02    6.42810000000000e+00    1.21740000000000e+01
  5.14400000000000e+02    6.21630000000000e+00    1.21780000000000e+01
  5.24690000000000e+02    5.95080000000000e+00    1.21660000000000e+01
  5.34980000000000e+02    5.66720000000000e+00    1.21480000000000e+01
  5.45270000000000e+02    5.36670000000000e+00    1.21220000000000e+01
  5.55560000000000e+02    5.06700000000000e+00    1.20930000000000e+01
  5.65840000000000e+02    4.78680000000000e+00    1.20650000000000e+01
  5.76130000000000e+02    4.52980000000000e+00    1.20380000000000e+01
  5.86420000000000e+02    4.31880000000000e+00    1.20200000000000e+01
  5.96710000000000e+02    4.14350000000000e+00    1.20050000000000e+01
  6.07000000000000e+02    3.95520000000000e+00    1.19800000000000e+01
  6.17280000000000e+02    3.77500000000000e+00    1.19500000000000e+01
  6.27570000000000e+02    3.63420000000000e+00    1.19270000000000e+01
  6.37860000000000e+02    3.52460000000000e+00    1.19070000000000e+01
  6.48150000000000e+02    3.46430000000000e+00    1.18980000000000e+01
  6.58440000000000e+02    3.46250000000000e+00    1.19050000000000e+01
  6.68720000000000e+02    3.50710000000000e+00    1.19250000000000e+01
  6.79010000000000e+02    3.61570000000000e+00    1.19660000000000e+01
  6.89300000000000e+02    3.76790000000000e+00    1.20210000000000e+01
  6.99590000000000e+02    3.91340000000000e+00    1.20740000000000e+01
  7.09880000000000e+02    4.06940000000000e+00    1.21280000000000e+01
  7.20160000000000e+02    4.25150000000000e+00    1.21900000000000e+01
  7.30450000000000e+02    4.44830000000000e+00    1.22550000000000e+01
  7.40740000000000e+02    4.66860000000000e+00    1.23250000000000e+01
  7.51030000000000e+02    4.91030000000000e+00    1.24000000000000e+01
  7.61320000000000e+02    5.16660000000000e+00    1.24740000000000e+01
  7.71610000000000e+02    5.44610000000000e+00    1.25510000000000e+01
  7.81890000000000e+02    5.72810000000000e+00    1.26220000000000e+01
  7.92180000000000e+02    5.96960000000000e+00    1.26690000000000e+01
  8.02470000000000e+02    6.16620000000000e+00    1.26900000000000e+01
  8.12760000000000e+02    6.32140000000000e+00    1.26840000000000e+01
  8.23040000000000e+02    6.43780000000000e+00    1.26520000000000e+01
  8.33330000000000e+02    6.52460000000000e+00    1.25970000000000e+01
  8.43620000000000e+02    6.57340000000000e+00    1.25160000000000e+01
  8.53910000000000e+02    6.58520000000000e+00    1.24080000000000e+01
  8.64200000000000e+02    6.56970000000000e+00    1.22790000000000e+01
  8.74490000000000e+02    6.50060000000000e+00    1.21190000000000e+01
  8.84770000000000e+02    6.34360000000000e+00    1.19160000000000e+01
  8.95060000000000e+02    6.11700000000000e+00    1.16780000000000e+01
  9.05350000000000e+02    5.85370000000000e+00    1.14170000000000e+01
  9.15640000000000e+02    5.57280000000000e+00    1.11440000000000e+01
  9.25930000000000e+02    5.29120000000000e+00    1.08650000000000e+01
  9.36210000000000e+02    5.01880000000000e+00    1.05870000000000e+01
  9.46500000000000e+02    4.76960000000000e+00    1.03170000000000e+01
  9.56790000000000e+02    4.56470000000000e+00    1.00660000000000e+01
  9.67080000000000e+02    4.39140000000000e+00    9.83050000000000e+00
  9.77370000000000e+02    4.21560000000000e+00    9.60070000000000e+00
  9.87650000000000e+02    4.05400000000000e+00    9.38340000000000e+00
  9.97940000000000e+02    3.93030000000000e+00    9.18760000000000e+00
  1.00820000000000e+03    3.84740000000000e+00    9.01470000000000e+00
  1.01850000000000e+03    3.81470000000000e+00    8.86830000000000e+00
  1.02880000000000e+03    3.82430000000000e+00    8.74570000000000e+00
  1.03910000000000e+03    3.86530000000000e+00    8.64280000000000e+00
  1.04940000000000e+03    3.94310000000000e+00    8.56070000000000e+00
  1.05970000000000e+03    4.03420000000000e+00    8.49050000000000e+00
  1.07000000000000e+03    4.10460000000000e+00    8.41940000000000e+00
  1.08020000000000e+03    4.16550000000000e+00    8.34950000000000e+00
  1.09050000000000e+03    4.22930000000000e+00    8.28330000000000e+00
  1.10080000000000e+03    4.29750000000000e+00    8.22030000000000e+00
  1.11110000000000e+03    4.37320000000000e+00    8.16060000000000e+00
  1.12140000000000e+03    4.44470000000000e+00    8.09980000000000e+00
  1.13170000000000e+03    4.50630000000000e+00    8.03570000000000e+00
  1.14200000000000e+03    4.56410000000000e+00    7.96950000000000e+00
  1.15230000000000e+03    4.60120000000000e+00    7.89560000000000e+00
  1.16250000000000e+03    4.59610000000000e+00    7.80680000000000e+00
  1.17280000000000e+03    4.56170000000000e+00    7.70660000000000e+00
  1.18310000000000e+03    4.51270000000000e+00    7.59940000000000e+00
  1.19340000000000e+03    4.45830000000000e+00    7.48800000000000e+00
  1.20370000000000e+03    4.41240000000000e+00    7.37690000000000e+00
  1.21400000000000e+03    4.37170000000000e+00    7.26600000000000e+00
  1.22430000000000e+03    4.33040000000000e+00    7.15440000000000e+00
  1.23460000000000e+03    4.29560000000000e+00    7.04470000000000e+00
  1.24490000000000e+03    4.25670000000000e+00    6.93460000000000e+00
  1.25510000000000e+03    4.20480000000000e+00    6.82180000000000e+00
  1.26540000000000e+03    4.16540000000000e+00    6.71390000000000e+00
  1.27570000000000e+03    4.15030000000000e+00    6.61500000000000e+00
  1.28600000000000e+03    4.16460000000000e+00    6.52720000000000e+00
  1.29630000000000e+03    4.22730000000000e+00    6.45660000000000e+00
  1.30660000000000e+03    4.32370000000000e+00    6.40020000000000e+00
  1.31690000000000e+03    4.43480000000000e+00    6.35360000000000e+00
  1.32720000000000e+03    4.49470000000000e+00    0.00000000000000e+00
  1.33750000000000e+03    4.72980000000000e+00    6.29810000000000e+00
  1.34770000000000e+03    4.92840000000000e+00    6.29270000000000e+00
  1.35800000000000e+03    5.17690000000000e+00    6.30610000000000e+00
  1.36830000000000e+03    5.45230000000000e+00    6.33250000000000e+00
  1.37860000000000e+03    5.74310000000000e+00    6.36850000000000e+00
  1.38890000000000e+03    6.05520000000000e+00    6.41460000000000e+00
  1.39920000000000e+03    6.36430000000000e+00    6.46410000000000e+00
  1.40950000000000e+03    6.67390000000000e+00    6.51660000000000e+00
  1.41980000000000e+03    6.98840000000000e+00    6.57220000000000e+00
  1.43000000000000e+03    7.29910000000000e+00    6.62780000000000e+00
  1.44030000000000e+03    7.61660000000000e+00    6.68470000000000e+00
  1.45060000000000e+03    7.89550000000000e+00    6.73190000000000e+00
  1.46090000000000e+03    8.12820000000000e+00    6.76720000000000e+00
  1.47120000000000e+03    8.36660000000000e+00    6.80150000000000e+00
  1.48150000000000e+03    8.59660000000000e+00    6.83140000000000e+00
  1.49180000000000e+03    8.79870000000000e+00    6.85270000000000e+00
  1.50210000000000e+03    8.98710000000000e+00    6.86790000000000e+00
  1.51230000000000e+03    9.14080000000000e+00    6.87240000000000e+00
  1.52260000000000e+03    9.25840000000000e+00    6.86560000000000e+00
  1.53290000000000e+03    9.36150000000000e+00    6.85110000000000e+00
  1.54320000000000e+03    9.42780000000000e+00    6.82410000000000e+00
  1.55350000000000e+03    9.45410000000000e+00    6.78400000000000e+00
  1.56380000000000e+03    9.42590000000000e+00    6.72830000000000e+00
  1.57410000000000e+03    9.32660000000000e+00    6.65390000000000e+00
  1.58440000000000e+03    9.20510000000000e+00    6.57050000000000e+00
  1.59470000000000e+03    9.09760000000000e+00    6.48650000000000e+00
  1.60490000000000e+03    8.97440000000000e+00    6.39750000000000e+00
  1.61520000000000e+03    8.83320000000000e+00    6.30350000000000e+00
  1.62550000000000e+03    8.70610000000000e+00    6.21170000000000e+00
  1.63580000000000e+03    8.56420000000000e+00    6.11760000000000e+00
  1.64610000000000e+03    8.40050000000000e+00    6.02040000000000e+00
  1.65640000000000e+03    8.23850000000000e+00    5.92490000000000e+00
  1.66670000000000e+03    8.06740000000000e+00    5.82950000000000e+00
  1.67700000000000e+03    7.89570000000000e+00    5.73590000000000e+00
  1.68720000000000e+03    7.73710000000000e+00    5.64680000000000e+00
  1.69750000000000e+03    7.58170000000000e+00    5.56090000000000e+00
  1.70780000000000e+03    7.43660000000000e+00    5.47940000000000e+00
  1.71810000000000e+03    7.30390000000000e+00    5.40290000000000e+00
  1.72840000000000e+03    7.16520000000000e+00    5.32820000000000e+00
  1.73870000000000e+03    7.02760000000000e+00    5.25650000000000e+00
  1.74900000000000e+03    6.89780000000000e+00    5.18860000000000e+00
  1.75930000000000e+03    6.77040000000000e+00    5.12340000000000e+00
  1.76950000000000e+03    6.65840000000000e+00    5.06300000000000e+00
  1.77980000000000e+03    6.56100000000000e+00    5.00710000000000e+00
  1.79010000000000e+03    6.46870000000000e+00    4.95400000000000e+00
  1.80040000000000e+03    6.38990000000000e+00    4.90500000000000e+00
  1.81070000000000e+03    6.30910000000000e+00    4.85750000000000e+00
  1.82100000000000e+03    6.21480000000000e+00    4.80930000000000e+00
  1.83130000000000e+03    6.12800000000000e+00    4.76320000000000e+00
  1.84160000000000e+03    6.04760000000000e+00    4.71890000000000e+00
  1.85180000000000e+03    5.97020000000000e+00    4.67570000000000e+00
  1.86210000000000e+03    5.91000000000000e+00    4.63560000000000e+00
  1.87240000000000e+03    5.85670000000000e+00    4.59720000000000e+00
  1.88270000000000e+03    5.80320000000000e+00    4.55940000000000e+00
  1.89300000000000e+03    5.75770000000000e+00    4.52330000000000e+00
  1.90330000000000e+03    5.69470000000000e+00    4.48510000000000e+00
  1.91360000000000e+03    5.61200000000000e+00    4.44420000000000e+00
  1.92390000000000e+03    5.54080000000000e+00    4.40450000000000e+00
  1.93420000000000e+03    5.47710000000000e+00    4.36540000000000e+00
